year,month,day,engagement,badges,engagement_inchigh,badges_inchigh,engagement_inclow,badges_inclow,engagement_incmiddle,badges_incmiddle
2020,1,12,0.0251,0.0632,0.0298,0.0789,0.0282,0.0645,0.0217,0.0568
2020,1,19,0.0206,0.00716,0.0126,0.00123,0.0326,0.00731,0.0167,0.0092
2020,1,26,-0.0359,-0.124,-0.0348,-0.11699999999999999,-0.0404,-0.134,-0.0337,-0.121
2020,2,2,0.0373,0.0879,0.0369,0.0803,0.0357,0.0953,0.0384,0.0864
2020,2,9,0.0265,0.10800000000000001,0.0256,0.102,0.0203,0.102,0.0304,0.114
2020,2,16,-0.00646,0.0259,-0.0211,-0.00821,0.00951,0.0553,-0.0103,0.0214
2020,2,23,-0.0636,-0.0533,-0.0965,-0.0997,-0.0491,-0.046,-0.06,-0.0405
2020,3,1,0.0159,0.124,0.0336,0.136,0.0106,0.11599999999999999,0.0125,0.12300000000000001
2020,3,8,0.0269,0.159,0.0367,0.17600000000000002,0.0354,0.163,0.0185,0.151
2020,3,15,-0.0109,0.0889,0.0537,0.187,-0.0361,0.0463,-0.0196,0.0781
2020,3,22,-0.47100000000000003,-0.29100000000000004,-0.212,0.138,-0.617,-0.515,-0.48100000000000004,-0.316
2020,3,29,-0.436,-0.18100000000000002,-0.129,0.29100000000000004,-0.599,-0.433,-0.45399999999999996,-0.20600000000000002
2020,4,5,-0.349,-0.0708,-0.034,0.379,-0.525,-0.34299999999999997,-0.361,-0.0766
2020,4,12,-0.34700000000000003,-0.0814,-0.0336,0.332,-0.541,-0.358,-0.348,-0.0715
2020,4,19,-0.287,0.0153,0.0541,0.479,-0.511,-0.305,-0.282,0.032
2020,4,26,-0.255,0.073,0.0979,0.556,-0.485,-0.266,-0.25,0.0958
2020,5,3,-0.304,-0.0335,0.0449,0.45399999999999996,-0.524,-0.36,-0.3,-0.0069
