year,month,day,statefips,merchants_all,merchants_inchigh,merchants_inclow,merchants_incmiddle,merchants_ss40,merchants_ss65,merchants_ss70
2020,1,13,6,-0.0032,-0.00134,-0.0119,-0.00246,-0.00746,-0.000663,-0.0037700000000000003
2020,1,20,6,0.00594,0.00603,0.00765,0.00532,0.009059999999999999,0.00458,0.00761
2020,1,27,6,-0.00128,-0.00238,0.004070000000000001,-0.00175,-0.00196,-0.00256,-0.0025
2020,2,3,6,0.00313,0.00242,0.0116,0.0014199999999999998,0.00744,-0.000974,0.000746
2020,2,10,6,0.009059999999999999,0.00716,0.0144,0.00944,0.0148,0.00233,0.0135
2020,2,17,6,0.0036799999999999997,-0.000771,0.00507,0.00755,0.0112,0.0104,0.0119
2020,2,24,6,0.00703,0.007859999999999999,0.0109,0.00519,0.0101,0.00861,0.0132
2020,3,2,6,0.00913,0.00671,0.0169,0.00915,0.0137,-0.00318,0.013999999999999999
2020,3,9,6,0.0188,0.0153,0.0239,0.0206,0.0232,0.0035700000000000003,0.0308
2020,3,16,6,0.000359,-0.00216,0.00491,0.00148,0.00282,-0.0073,0.0178
2020,3,23,6,-0.195,-0.228,-0.162,-0.172,-0.287,-0.21100000000000002,-0.196
2020,3,30,6,-0.27899999999999997,-0.306,-0.256,-0.261,-0.41200000000000003,-0.295,-0.263
2020,4,6,6,-0.27699999999999997,-0.3,-0.259,-0.26,-0.415,-0.28300000000000003,-0.294
2020,4,13,6,-0.321,-0.342,-0.305,-0.306,-0.447,-0.327,-0.342
2020,4,20,6,-0.276,-0.304,-0.247,-0.257,-0.41200000000000003,-0.273,-0.303
2020,4,27,6,-0.259,-0.284,-0.231,-0.243,-0.381,-0.27699999999999997,-0.281
2020,5,4,6,-0.23600000000000002,-0.267,-0.204,-0.215,-0.36,-0.255,-0.264
2020,5,11,6,-0.23800000000000002,-0.267,-0.201,-0.222,-0.349,-0.243,-0.261
2020,5,18,6,-0.21899999999999997,-0.24600000000000002,-0.182,-0.204,-0.327,-0.193,-0.243
2020,5,25,6,-0.21100000000000002,-0.239,-0.17,-0.196,-0.309,-0.157,-0.222
2020,6,1,6,-0.21100000000000002,-0.23600000000000002,-0.174,-0.198,-0.29,-0.17,-0.25
2020,6,8,6,-0.209,-0.231,-0.17800000000000002,-0.196,-0.27,-0.155,-0.272
2020,6,15,6,-0.195,-0.214,-0.162,-0.18600000000000003,-0.247,-0.145,-0.247
2020,6,22,6,-0.155,-0.171,-0.129,-0.147,-0.177,-0.127,-0.214
2020,6,29,6,-0.135,-0.151,-0.10800000000000001,-0.127,-0.136,-0.11199999999999999,-0.20800000000000002
2020,7,6,6,-0.135,-0.154,-0.102,-0.127,-0.13,-0.129,-0.21600000000000003
2020,7,13,6,-0.151,-0.172,-0.107,-0.14300000000000002,-0.139,-0.151,-0.249
2020,7,20,6,-0.2,-0.22,-0.14800000000000002,-0.195,-0.261,-0.157,-0.267
2020,7,27,6,-0.20800000000000002,-0.22699999999999998,-0.159,-0.203,-0.27399999999999997,-0.154,-0.26899999999999996
2020,8,3,6,-0.222,-0.24,-0.179,-0.217,-0.278,-0.16899999999999998,-0.29
