year,month,day,cityid,revenue_all,revenue_ss40,revenue_ss65,revenue_ss70
2020,1,13,6,-0.054000000000000006,-0.0703,-0.105,-0.0174
2020,1,20,6,0.0109,0.0224,0.0265,0.0193
2020,1,27,6,0.00928,0.0177,0.0191,-0.0439
2020,2,3,6,-0.00259,0.0554,-0.0534,-0.0421
2020,2,10,6,0.156,0.0863,0.177,0.0995
2020,2,17,6,0.0149,0.0283,0.106,-0.0391
2020,2,24,6,0.0308,-0.0351,0.218,-0.0334
2020,3,2,6,0.0168,0.0209,0.0141,-0.0405
2020,3,9,6,-0.0147,-0.0715,0.14,-0.115
2020,3,16,6,-0.147,-0.11199999999999999,-0.0107,-0.379
2020,3,23,6,-0.35700000000000004,-0.38299999999999995,-0.237,-0.77
2020,3,30,6,-0.45399999999999996,-0.507,-0.33399999999999996,-0.784
2020,4,6,6,-0.45,-0.499,-0.42100000000000004,-0.78
2020,4,13,6,-0.489,-0.54,-0.526,-0.7829999999999999
2020,4,20,6,-0.386,-0.44799999999999995,-0.467,-0.7559999999999999
2020,4,27,6,-0.325,-0.322,-0.45299999999999996,-0.677
2020,5,4,6,-0.32299999999999995,-0.306,-0.502,-0.662
2020,5,11,6,-0.261,-0.32299999999999995,-0.45799999999999996,-0.584
2020,5,18,6,-0.23199999999999998,-0.239,-0.36200000000000004,-0.601
2020,5,25,6,-0.244,-0.23199999999999998,-0.28300000000000003,-0.536
2020,6,1,6,-0.22699999999999998,-0.209,-0.309,-0.508
2020,6,8,6,-0.23399999999999999,-0.149,-0.325,-0.5479999999999999
2020,6,15,6,-0.258,-0.151,-0.285,-0.5479999999999999
2020,6,22,6,-0.192,-0.0902,-0.19399999999999998,-0.466
2020,6,29,6,-0.217,-0.139,-0.302,-0.501
2020,7,6,6,-0.217,-0.141,-0.255,-0.505
2020,7,13,6,-0.20600000000000002,-0.111,-0.32799999999999996,-0.513
2020,7,20,6,-0.244,-0.18,-0.355,-0.5720000000000001
2020,7,27,6,-0.221,-0.15,-0.297,-0.502
2020,8,3,6,-0.231,-0.171,-0.431,-0.49
