year,month,day,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020,1,13,-0.00576,0.00182,-0.000704,-0.00307,0.00308,-0.00978,0.0103,-4.36e-05,0.00165,-0.00188
2020,1,20,0.00273,0.0452,0.00797,-0.0116,-0.0129,0.0138,0.0117,0.00869,0.014,0.0059
2020,1,27,-0.0039,0.00784,-0.00461,-0.00424,-0.0187,0.00182,-0.0101,-0.00441,-0.00748,-0.00381
2020,2,3,0.00803,-0.00351,-0.00204,0.0154,-0.00824,-0.000515,-0.00691,-0.00374,-0.00488,-0.000403
2020,2,10,-0.0279,0.0214,4.47e-05,-0.0185,0.033,0.0083,-0.0466,0.00167,-0.0034,-0.000478
2020,2,17,-0.0222,0.0229,0.00619,-0.00776,0.0244,-0.00199,-0.0318,0.0107,-0.0068,0.00662
2020,2,24,-0.00861,-0.0265,-0.00356,-0.0146,-0.0174,-0.00817,-0.0655,0.011,-0.0357,-0.0037
2020,3,2,-0.0327,-0.0927,-0.0131,-0.012,0.0751,-0.0227,-0.147,-0.0099,-0.0261,-0.0118
2020,3,9,-0.0615,-0.112,-0.00573,-0.0202,0.148,-0.0215,-0.173,-0.0133,0.00767,-0.00509
2020,3,16,-0.215,-0.363,-0.00662,-0.13,0.654,-0.0921,-0.303,-0.0177,-0.00392,-0.000275
2020,3,23,-0.596,-0.613,-0.207,-0.456,0.373,-0.388,-0.573,-0.249,-0.168,-0.191
2020,3,30,-0.665,-0.731,-0.333,-0.521,0.073,-0.552,-0.692,-0.368,-0.299,-0.321
2020,4,6,-0.655,-0.712,-0.296,-0.463,0.157,-0.54,-0.68,-0.341,-0.242,-0.282
2020,4,13,-0.642,-0.728,-0.324,-0.461,0.0958,-0.573,-0.728,-0.363,-0.281,-0.311
2020,4,20,-0.585,-0.693,-0.232,-0.383,0.0513,-0.469,-0.694,-0.313,-0.128,-0.207
2020,4,27,-0.582,-0.736,-0.221,-0.339,0.239,-0.522,-0.693,-0.285,-0.147,-0.201
2020,5,4,-0.545,-0.683,-0.178,-0.301,0.197,-0.464,-0.645,-0.245,-0.0987,-0.157
2020,5,11,-0.508,-0.646,-0.173,-0.289,0.132,-0.391,-0.642,-0.238,-0.0956,-0.152
2020,5,18,-0.487,-0.593,-0.142,-0.208,0.184,-0.301,-0.633,-0.203,-0.0652,-0.125
2020,5,25,-0.45,-0.605,-0.134,-0.217,0.103,-0.231,-0.588,-0.197,-0.0601,-0.114
2020,6,1,-0.41,-0.571,-0.128,-0.188,0.095,-0.223,-0.564,-0.187,-0.0524,-0.111
2020,6,8,-0.395,-0.498,-0.0983,-0.159,0.113,-0.176,-0.53,-0.159,-0.0254,-0.0793
2020,6,15,-0.365,-0.519,-0.0997,-0.113,0.0662,-0.15,-0.504,-0.148,-0.0372,-0.0864
2020,6,22,-0.328,-0.452,-0.0511,-0.0151,0.174,-0.137,-0.49,-0.102,0.0116,-0.0357
2020,6,29,-0.353,-0.516,-0.108,-0.0584,0.0667,-0.153,-0.495,-0.147,-0.0627,-0.0965
2020,7,6,-0.359,-0.511,-0.0594,-0.054,0.0882,0.00401,-0.471,-0.102,-0.00402,-0.0487
2020,7,13,-0.332,-0.499,-0.0666,-0.05,0.108,-0.129,-0.498,-0.102,-0.0189,-0.0588
2020,7,20,-0.332,-0.538,-0.0656,-0.0812,0.124,-0.111,-0.507,-0.1,-0.0198,-0.0575
2020,7,27,-0.318,-0.509,-0.064,-0.0816,0.118,-0.106,-0.494,-0.101,-0.0209,-0.0532
2020,8,3,-0.298,-0.51,-0.0753,-0.106,0.0991,-0.107,-0.479,-0.112,-0.0343,-0.0646
