year,month,day,cityid,merchants_all,merchants_ss40,merchants_ss65,merchants_ss70
2020,1,13,6,-0.000333,-0.00602,0.00114,-0.00513
2020,1,20,6,0.00483,0.00524,0.0042899999999999995,0.0027300000000000002
2020,1,27,6,-0.0032600000000000003,-0.00399,-0.011000000000000001,-0.000733
2020,2,3,6,-0.00148,0.0027600000000000003,0.0027300000000000002,0.00585
2020,2,10,6,-0.0036899999999999997,-0.00312,0.00527,0.00921
2020,2,17,6,-0.00159,0.0109,0.0122,0.0124
2020,2,24,6,-0.004229999999999999,0.0034700000000000004,0.00212,0.0178
2020,3,2,6,-0.00271,0.00688,-0.00613,0.0169
2020,3,9,6,0.0030800000000000003,0.0178,-0.0198,0.0324
2020,3,16,6,-0.0174,-0.0107,-0.0256,0.0145
2020,3,23,6,-0.204,-0.295,-0.228,-0.22
2020,3,30,6,-0.3,-0.434,-0.321,-0.28800000000000003
2020,4,6,6,-0.29600000000000004,-0.439,-0.307,-0.306
2020,4,13,6,-0.342,-0.475,-0.335,-0.34700000000000003
2020,4,20,6,-0.293,-0.433,-0.304,-0.316
2020,4,27,6,-0.285,-0.39399999999999996,-0.309,-0.29100000000000004
2020,5,4,6,-0.264,-0.402,-0.26899999999999996,-0.252
2020,5,11,6,-0.259,-0.39299999999999996,-0.255,-0.218
2020,5,18,6,-0.24,-0.364,-0.196,-0.19699999999999998
2020,5,25,6,-0.23199999999999998,-0.331,-0.14,-0.2
2020,6,1,6,-0.222,-0.297,-0.157,-0.218
2020,6,8,6,-0.222,-0.27,-0.166,-0.249
2020,6,15,6,-0.212,-0.265,-0.146,-0.228
2020,6,22,6,-0.17,-0.174,-0.134,-0.203
2020,6,29,6,-0.152,-0.129,-0.10400000000000001,-0.201
2020,7,6,6,-0.155,-0.121,-0.12,-0.209
2020,7,13,6,-0.17800000000000002,-0.135,-0.158,-0.259
2020,7,20,6,-0.231,-0.29600000000000004,-0.15,-0.282
2020,7,27,6,-0.243,-0.314,-0.163,-0.284
2020,8,3,6,-0.251,-0.303,-0.168,-0.306
