year,month,day,countyfips,merchants_all
2020,1,13,6073,-0.000333
2020,1,20,6073,0.00483
2020,1,27,6073,-0.0032600000000000003
2020,2,3,6073,-0.00148
2020,2,10,6073,-0.0036899999999999997
2020,2,17,6073,-0.00159
2020,2,24,6073,-0.004229999999999999
2020,3,2,6073,-0.00271
2020,3,9,6073,0.0030800000000000003
2020,3,16,6073,-0.0174
2020,3,23,6073,-0.204
2020,3,30,6073,-0.3
2020,4,6,6073,-0.29600000000000004
2020,4,13,6073,-0.342
2020,4,20,6073,-0.293
2020,4,27,6073,-0.285
2020,5,4,6073,-0.264
2020,5,11,6073,-0.259
2020,5,18,6073,-0.24
2020,5,25,6073,-0.23199999999999998
2020,6,1,6073,-0.222
2020,6,8,6073,-0.222
2020,6,15,6073,-0.212
2020,6,22,6073,-0.17
2020,6,29,6073,-0.152
2020,7,6,6073,-0.155
2020,7,13,6073,-0.17800000000000002
2020,7,20,6073,-0.231
2020,7,27,6073,-0.243
2020,8,3,6073,-0.251
