year,month,day,revenue_all,revenue_inchigh,revenue_inclow,revenue_incmiddle,revenue_ss40,revenue_ss65,revenue_ss70
2020,1,13,-0.0135,-0.00551,-0.0481,-0.00665,-0.0045899999999999995,-0.0456,-0.0217
2020,1,20,0.00195,-0.00115,0.00405,0.000932,0.0052899999999999996,0.0131,0.00539
2020,1,27,-0.00831,-0.0069299999999999995,0.000974,-0.0116,-0.0149,-0.0104,-0.00835
2020,2,3,0.0132,0.0142,0.0157,0.0117,0.00813,0.0366,0.015
2020,2,10,0.139,0.138,0.135,0.142,0.124,0.14,0.16
2020,2,17,-0.0107,-0.0173,-0.00905,-0.00642,0.007679999999999999,-0.0241,-0.0167
2020,2,24,-0.00662,-0.00314,-0.0183,-0.0039299999999999995,-0.0258,0.0163,-0.0031899999999999997
2020,3,2,0.0496,0.0348,0.0517,0.064,0.0749,0.0503,0.03
2020,3,9,0.0038399999999999997,-0.009909999999999999,0.0132,0.009890000000000001,0.025,-3.570000000000001e-05,-0.0134
2020,3,16,-0.0789,-0.113,-0.0493,-0.0633,0.00748,-0.0762,-0.245
2020,3,23,-0.26899999999999996,-0.319,-0.207,-0.254,-0.132,-0.28,-0.662
2020,3,30,-0.41200000000000003,-0.44299999999999995,-0.373,-0.4,-0.387,-0.43700000000000006,-0.706
2020,4,6,-0.40399999999999997,-0.446,-0.354,-0.389,-0.392,-0.452,-0.687
2020,4,13,-0.406,-0.44799999999999995,-0.35700000000000004,-0.385,-0.389,-0.465,-0.682
2020,4,20,-0.319,-0.38799999999999996,-0.22699999999999998,-0.3,-0.309,-0.34600000000000003,-0.636
2020,4,27,-0.282,-0.344,-0.20600000000000002,-0.243,-0.217,-0.425,-0.599
2020,5,4,-0.278,-0.35,-0.196,-0.235,-0.205,-0.44299999999999995,-0.578
2020,5,11,-0.239,-0.313,-0.16899999999999998,-0.191,-0.166,-0.364,-0.529
2020,5,18,-0.179,-0.26899999999999996,-0.0929,-0.11800000000000001,-0.0778,-0.27899999999999997,-0.519
2020,5,25,-0.153,-0.24,-0.062,-0.0978,-0.0514,-0.18100000000000002,-0.457
2020,6,1,-0.136,-0.22,-0.0538,-0.0855,-0.0684,-0.157,-0.42200000000000004
2020,6,8,-0.158,-0.242,-0.0926,-0.10099999999999999,-0.0495,-0.26,-0.419
2020,6,15,-0.13,-0.209,-0.0614,-0.077,-0.0541,-0.158,-0.39299999999999996
2020,6,22,-0.128,-0.196,-0.07400000000000001,-0.0881,0.00893,-0.209,-0.37200000000000005
2020,6,29,-0.155,-0.217,-0.0986,-0.124,-0.0509,-0.222,-0.382
2020,7,6,-0.129,-0.192,-0.0543,-0.105,-0.0304,-0.174,-0.377
2020,7,13,-0.158,-0.207,-0.0988,-0.139,-0.0629,-0.21100000000000002,-0.415
2020,7,20,-0.161,-0.21600000000000003,-0.0748,-0.149,-0.064,-0.193,-0.43
2020,7,27,-0.172,-0.213,-0.127,-0.149,-0.0641,-0.26899999999999996,-0.431
2020,8,3,-0.182,-0.226,-0.131,-0.162,-0.102,-0.21600000000000003,-0.434
