year,month,day,countyfips,engagement,badges,imputed_from_cz
2020,1,12,6073,-0.0322,-0.0792,0
2020,1,19,6073,0.0148,0.0368,0
2020,1,26,6073,-0.0295,-0.113,0
2020,2,2,6073,0.154,0.191,0
2020,2,9,6073,0.163,0.3,0
2020,2,16,6073,0.0861,0.114,0
2020,2,23,6073,0.00616,0.0305,0
2020,3,1,6073,0.163,0.36,0
2020,3,8,6073,0.116,0.312,0
2020,3,15,6073,0.148,0.323,0
2020,3,22,6073,-0.359,-0.126,0
2020,3,29,6073,-0.4,-0.11,0
2020,4,5,6073,-0.396,-0.163,0
2020,4,12,6073,-0.239,0.0362,0
2020,4,19,6073,0.0353,0.444,0
2020,4,26,6073,0.131,0.651,0
2020,5,3,6073,0.077,0.512,0
