year,month,day,statefips,engagement,badges,engagement_inchigh,badges_inchigh,engagement_inclow,badges_inclow,engagement_incmiddle,badges_incmiddle
2020,1,12,6,0.019,0.0391,0.0265,0.0555,0.0233,0.0166,0.013000000000000001,0.0307
2020,1,19,6,0.0705,0.0477,0.0549,0.0446,0.16,0.0586,0.0561,0.0467
2020,1,26,6,0.017,-0.0742,-0.0119,-0.104,0.111,0.0272,0.0099,-0.0828
2020,2,2,6,0.11,0.16,0.0629,0.12,0.214,0.279,0.11199999999999999,0.153
2020,2,9,6,0.12300000000000001,0.223,0.0766,0.164,0.227,0.365,0.124,0.222
2020,2,16,6,0.0338,0.0277,0.00692,0.00406,0.122,0.164,0.0271,0.0056700000000000006
2020,2,23,6,-0.0344,-0.0538,-0.0881,-0.103,0.0659,0.0723,-0.0269,-0.0561
2020,3,1,6,0.129,0.242,0.101,0.2,0.233,0.434,0.11900000000000001,0.217
2020,3,8,6,0.113,0.254,0.0901,0.232,0.24,0.442,0.0941,0.217
2020,3,15,6,0.146,0.289,0.123,0.274,0.264,0.442,0.128,0.257
2020,3,22,6,-0.32899999999999996,-0.0636,-0.172,0.207,-0.483,-0.227,-0.389,-0.19399999999999998
2020,3,29,6,-0.34700000000000003,0.0175,-0.132,0.325,-0.501,-0.148,-0.444,-0.13699999999999998
2020,4,5,6,-0.26899999999999996,0.0768,-0.0722,0.329,-0.426,-0.105,-0.354,-0.0367
2020,4,12,6,-0.242,0.10400000000000001,-0.109,0.242,-0.451,-0.0818,-0.271,0.0661
2020,4,19,6,-0.0899,0.335,0.0893,0.565,-0.301,0.117,-0.14800000000000002,0.247
2020,4,26,6,-0.00435,0.496,0.163,0.716,-0.204,0.255,-0.0579,0.42100000000000004
2020,5,3,6,-0.0502,0.41600000000000004,0.122,0.646,-0.246,0.124,-0.109,0.353
